Type,Content,text_cleaned,text_processed,sentiment
p,"The Israeli Law of Return that grants citizenship to people of Jewish descent is viewed by critics as discriminatory against other ethnic groups, especially Palestinians that cannot apply for such citizenship under the law of return, to the territory which they were expelled from or fled during the course of the 1948 war.[152][153][154]",the israeli law of return that grants citizenship to people of jewish descent is viewed by critics as discriminatory against other ethnic groups especially palestinians that cannot apply for such citizenship under the law of return to the territory which they were expelled from or fled during the course of the  war,israeli law return grants citizenship people jewish descent viewed critics discriminatory against other ethnic groups especially palestinians cannot apply such citizenship under law return territory were expelled fled during course war,-0.03125
p,"According to the UN Resolution 194, adopted in 1948, ""the refugees wishing to return to their homes and live at peace with their neighbours should be permitted to do so at the earliest practicable date, and that compensation should be paid for the property of those choosing not to return and for loss of or damage to property which, under principles of international law or in equity, should be made good by the Governments or authorities responsible.""[155] UN Resolution 3236 ""reaffirms also the inalienable right of the Palestinians to return to their homes and property from which they have been displaced and uprooted, and calls for their return"".[156] Resolution 242 from the UN affirms the necessity for ""achieving a just settlement of the refugee problem""; however, Resolution 242 does not specify that the ""just settlement"" must or should be in the form of a literal Palestinian right of return.[157]",according to the un resolution  adopted in  the refugees wishing to return to their homes and live at peace with their neighbours should be permitted to do so at the earliest practicable date and that compensation should be paid for the property of those choosing not to return and for loss of or damage to property which under principles of international law or in equity should be made good by the governments or authorities responsible un resolution  reaffirms also the inalienable right of the palestinians to return to their homes and property from which they have been displaced and uprooted and calls for their return resolution  from the un affirms the necessity for achieving a just settlement of the refugee problem however resolution  does not specify that the just settlement must or should be in the form of a literal palestinian right of return,according un resolution adopted refugees wishing return homes live peace neighbours should permitted do so earliest practicable date compensation should paid property those choosing return loss damage property under principles international law equity should made good governments authorities responsible un resolution reaffirms also inalienable right palestinians return homes property been displaced uprooted calls return resolution un affirms necessity achieving just settlement refugee problem however resolution does specify just settlement must should form literal palestinian right return,0.26796536796536796
p,The most common arguments for opposition are:,the most common arguments for opposition are,most common arguments opposition,0.1
p,"Historians still debate the causes of the 1948 Palestinian exodus. Notably, historian Benny Morris states that most of Palestine's 700,000 refugees fled because of the ""flail of war"" and expected to return home shortly after a successful Arab invasion. He documents instances in which Arab leaders advised the evacuation of entire communities as happened in Haifa. In his scholarly work, however, he does conclude that there were expulsions which were carried out.[160][161] Morris considers the displacement the result of a national conflict initiated by the Arabs themselves.[161] In a 2004 interview with Haaretz, he described the exodus as largely resulting from an atmosphere of transfer that was promoted by Ben-Gurion and understood by the military leadership. He also claimed that there ""are circumstances in history that justify ethnic cleansing"".[162] He has been criticized by political scientist Norman Finkelstein for having seemingly changed his views for political, rather than historical, reasons.[163]",historians still debate the causes of the  palestinian exodus notably historian benny morris states that most of palestines  refugees fled because of the flail of war and expected to return home shortly after a successful arab invasion he documents instances in which arab leaders advised the evacuation of entire communities as happened in haifa in his scholarly work however he does conclude that there were expulsions which were carried out morris considers the displacement the result of a national conflict initiated by the arabs themselves in a  interview with haaretz he described the exodus as largely resulting from an atmosphere of transfer that was promoted by bengurion and understood by the military leadership he also claimed that there are circumstances in history that justify ethnic cleansing he has been criticized by political scientist norman finkelstein for having seemingly changed his views for political rather than historical reasons,historians still debate causes palestinian exodus notably historian benny morris states most palestines refugees fled because flail war expected return home shortly after successful arab invasion he documents instances arab leaders advised evacuation entire communities happened haifa his scholarly work however he does conclude there were expulsions were carried out morris considers displacement result national conflict initiated arabs themselves interview haaretz he described exodus largely resulting atmosphere transfer promoted bengurion understood military leadership he also claimed there circumstances history justify ethnic cleansing he been criticized political scientist norman finkelstein having seemingly changed his views political rather than historical reasons,0.16038961038961036
p,Since Jewish people who fled or otherwise emigrated from the Arab world after the Israeli declaration of independence were never compensated or repatriated by their former countries of residence—to no objection on the part of Arab leaders—a precedent has been set whereby it is the responsibility of the nation which accepts the refugees to assimilate them.[164][165][166],since jewish people who fled or otherwise emigrated from the arab world after the israeli declaration of independence were never compensated or repatriated by their former countries of residenceto no objection on the part of arab leadersa precedent has been set whereby it is the responsibility of the nation which accepts the refugees to assimilate them,since jewish people who fled otherwise emigrated arab world after israeli declaration independence were never compensated repatriated former countries residenceto no objection part arab leadersa precedent been set whereby responsibility nation accepts refugees assimilate them,0.0
p,"Although Israel accepts the right of the Palestinian Diaspora to return into a new Palestinian state, Israel insists that the return of this population into the current state of Israel would be a great danger for the stability of the Jewish state; an influx of Palestinian refugees would lead to the destruction of the state of Israel.[167]",although israel accepts the right of the palestinian diaspora to return into a new palestinian state israel insists that the return of this population into the current state of israel would be a great danger for the stability of the jewish state an influx of palestinian refugees would lead to the destruction of the state of israel,although israel accepts right palestinian diaspora return into new palestinian state israel insists return population into current state israel would great danger stability jewish state influx palestinian refugees would lead destruction state israel,0.24441558441558442
p,"According to Efraim Karsh the Palestinians were themselves the aggressors in the 1948–1949 war who attempted to ""cleanse"" a neighboring ethnic community. Had the United Nations resolution of 29 November 1947 recommending partition in Palestine not been subverted by force by the Arab world, there would have been no refugee problem in the first place. He reports of large numbers of Palestinian refugees leaving even before the outbreak of the 1948 war because of disillusionment and economic privation. The British High Commissioner for Palestine spoke of the ""collapsing Arab morale in Palestine"" that he partially attributed to the ""increasing tendency of those who should be leading them to leave the country"" and the considerable evacuations of the Arab effendi class. Huge numbers of Palestinians were also expelled by their leadership to prevent them from becoming Israeli citizens and in Haifa and Tiberias, tens of thousands of Arabs were forcibly evacuated on the instructions of the Arab Higher Committee.[168]",according to efraim karsh the palestinians were themselves the aggressors in the  war who attempted to cleanse a neighboring ethnic community had the united nations resolution of  november  recommending partition in palestine not been subverted by force by the arab world there would have been no refugee problem in the first place he reports of large numbers of palestinian refugees leaving even before the outbreak of the  war because of disillusionment and economic privation the british high commissioner for palestine spoke of the collapsing arab morale in palestine that he partially attributed to the increasing tendency of those who should be leading them to leave the country and the considerable evacuations of the arab effendi class huge numbers of palestinians were also expelled by their leadership to prevent them from becoming israeli citizens and in haifa and tiberias tens of thousands of arabs were forcibly evacuated on the instructions of the arab higher committee,according efraim karsh palestinians were themselves aggressors war who attempted cleanse neighboring ethnic community united nations resolution november recommending partition palestine been subverted force arab world there would been no refugee problem first place he reports large numbers palestinian refugees leaving even before outbreak war because disillusionment economic privation british high commissioner palestine spoke collapsing arab morale palestine he partially attributed increasing tendency those who should leading them leave country considerable evacuations arab effendi class huge numbers palestinians were also expelled leadership prevent them becoming israeli citizens haifa tiberias tens thousands arabs were forcibly evacuated instructions arab higher committee,0.22038961038961039
h3,Israeli security concerns,israeli security concerns,israeli security concerns,0.0
p,"Throughout the conflict, Palestinian violence has been a concern for Israelis. Israel,[169] along with the United States[170][better source needed] and the European Union, refer to the violence against Israeli civilians and military forces by Palestinian militants as terrorism. The motivations behind Palestinian violence against Israeli civilians are many, and not all violent Palestinian groups agree with each other on specifics. Nonetheless, a common motive is the desire to destroy Israel and replace it with a Palestinian Arab state.[171] The most prominent Islamist groups, such as Hamas and Palestinian Islamic Jihad, view the Israeli–Palestinian conflict as a religious jihad.[172]",throughout the conflict palestinian violence has been a concern for israelis israel along with the united statesbetter source needed and the european union refer to the violence against israeli civilians and military forces by palestinian militants as terrorism the motivations behind palestinian violence against israeli civilians are many and not all violent palestinian groups agree with each other on specifics nonetheless a common motive is the desire to destroy israel and replace it with a palestinian arab state the most prominent islamist groups such as hamas and palestinian islamic jihad view the israelipalestinian conflict as a religious jihad,throughout conflict palestinian violence been concern israelis israel along united statesbetter source needed european union refer violence against israeli civilians military forces palestinian militants terrorism motivations behind palestinian violence against israeli civilians many all violent palestinian groups agree each other specifics nonetheless common motive desire destroy israel replace palestinian arab state most prominent islamist groups such hamas palestinian islamic jihad view israelipalestinian conflict religious jihad,-0.03541666666666667
p,"Suicide bombings have been used as a tactic among Palestinian organizations like Hamas, Islamic Jihad, and the Al-Aqsa Martyrs Brigade and certain suicide attacks have received support among Palestinians as high as 84%.[173][174] In Israel, Palestinian suicide bombers have targeted civilian buses, restaurants, shopping malls, hotels and marketplaces.[175] From 1993 to 2003, 303 Palestinian suicide bombers attacked Israel.",suicide bombings have been used as a tactic among palestinian organizations like hamas islamic jihad and the alaqsa martyrs brigade and certain suicide attacks have received support among palestinians as high as  in israel palestinian suicide bombers have targeted civilian buses restaurants shopping malls hotels and marketplaces from  to   palestinian suicide bombers attacked israel,suicide bombings been used tactic among palestinian organizations like hamas islamic jihad alaqsa martyrs brigade certain suicide attacks received support among palestinians high israel palestinian suicide bombers targeted civilian buses restaurants shopping malls hotels marketplaces palestinian suicide bombers attacked israel,0.18714285714285714
p,"The Israeli government initiated the construction of a security barrier following scores of suicide bombings and terrorist attacks in July 2003. Israel's coalition government approved the security barrier in the northern part of the green line between Israel and the West Bank. According to the IDF, since the erection of the fence, terrorist acts have declined by approximately 90%.[176]",the israeli government initiated the construction of a security barrier following scores of suicide bombings and terrorist attacks in july  israels coalition government approved the security barrier in the northern part of the green line between israel and the west bank according to the idf since the erection of the fence terrorist acts have declined by approximately ,israeli government initiated construction security barrier following scores suicide bombings terrorist attacks july israels coalition government approved security barrier northern part green line between israel west bank according idf since erection fence terrorist acts declined approximately,-0.20000000000000004
p,"Since 2001, the threat of Qassam rockets fired from Palestinian territories into Israel continues to be of great concern for Israeli defense officials.[177] In 2006—the year following Israel's disengagement from the Gaza Strip—the Israeli government claimed to have recorded 1,726 such launches, more than four times the total rockets fired in 2005.[169][178] As of January 2009, over 8,600 rockets have been launched,[179][180] causing widespread psychological trauma and disruption of daily life.[181] Over 500 rockets and mortars hit Israel in January–September 2010 and over 1,947 rockets hit Israel in January–November 2012.",since  the threat of qassam rockets fired from palestinian territories into israel continues to be of great concern for israeli defense officials in the year following israels disengagement from the gaza stripthe israeli government claimed to have recorded  such launches more than four times the total rockets fired in  as of january  over  rockets have been launched causing widespread psychological trauma and disruption of daily life over  rockets and mortars hit israel in januaryseptember  and over  rockets hit israel in januarynovember ,since threat qassam rockets fired palestinian territories into israel continues great concern israeli defense officials year following israels disengagement gaza stripthe israeli government claimed recorded such launches more than four times total rockets fired january over rockets been launched causing widespread psychological trauma disruption daily life over rockets mortars hit israel januaryseptember over rockets hit israel januarynovember,0.18571428571428572
p,"According to a study conducted by University of Haifa, one in five Israelis have lost a relative or friend in a Palestinian terrorist attack.[182]",according to a study conducted by university of haifa one in five israelis have lost a relative or friend in a palestinian terrorist attack,according study conducted university haifa one five israelis lost relative friend palestinian terrorist attack,0.0
p,"There is significant debate within Israel about how to deal with the country's security concerns. Options have included military action (including targeted killings and house demolitions of terrorist operatives), diplomacy, unilateral gestures toward peace, and increased security measures such as checkpoints, roadblocks and security barriers. The legality and the wisdom of all of the above tactics have been called into question by various commentators.[14][unreliable source?]",there is significant debate within israel about how to deal with the countrys security concerns options have included military action including targeted killings and house demolitions of terrorist operatives diplomacy unilateral gestures toward peace and increased security measures such as checkpoints roadblocks and security barriers the legality and the wisdom of all of the above tactics have been called into question by various commentatorsunreliable source,there significant debate within israel about how deal countrys security concerns options included military action including targeted killings house demolitions terrorist operatives diplomacy unilateral gestures toward peace increased security measures such checkpoints roadblocks security barriers legality wisdom all above tactics been called into question various commentatorsunreliable source,-0.017857142857142856
p,"Since mid-June 2007, Israel's primary means of dealing with security concerns in the West Bank has been to cooperate with and permit United States-sponsored training, equipping, and funding of the Palestinian Authority's security forces, which with Israeli help have largely succeeded in quelling West Bank supporters of Hamas.[183]",since midjune  israels primary means of dealing with security concerns in the west bank has been to cooperate with and permit united statessponsored training equipping and funding of the palestinian authoritys security forces which with israeli help have largely succeeded in quelling west bank supporters of hamas,since midjune israels primary means dealing security concerns west bank been cooperate permit united statessponsored training equipping funding palestinian authoritys security forces israeli help largely succeeded quelling west bank supporters hamas,0.30714285714285716
h3,Palestinian violence outside of Israel,palestinian violence outside of israel,palestinian violence outside israel,0.0
p,Some Palestinians have committed violent acts over the globe on the pretext of a struggle against Israel.[184][185],some palestinians have committed violent acts over the globe on the pretext of a struggle against israel,some palestinians committed violent acts over globe pretext struggle against israel,-0.8
p,"During the late 1960s, the PLO became increasingly infamous for its use of international terror. In 1969 alone, the PLO was responsible for hijacking 82 planes. El Al Airlines became a regular hijacking target.[186][187] The hijacking of Air France Flight 139 by the Popular Front for the Liberation of Palestine culminated during a hostage-rescue mission, where Israeli special forces successfully rescued the majority of the hostages.",during the late s the plo became increasingly infamous for its use of international terror in  alone the plo was responsible for hijacking  planes el al airlines became a regular hijacking target the hijacking of air france flight  by the popular front for the liberation of palestine culminated during a hostagerescue mission where israeli special forces successfully rescued the majority of the hostages,during late s plo became increasingly infamous use international terror alone plo responsible hijacking planes el al airlines became regular hijacking target hijacking air france flight popular front liberation palestine culminated during hostagerescue mission where israeli special forces successfully rescued majority hostages,0.13839285714285712
p,"However, one of the most well-known and notorious terrorist acts was the capture and eventual murder of 11 Israeli athletes during the 1972 Olympic Games.[188]",however one of the most wellknown and notorious terrorist acts was the capture and eventual murder of  israeli athletes during the  olympic games,however one most wellknown notorious terrorist acts capture eventual murder israeli athletes during olympic games,0.5
h3,Palestinian-on-Palestinian violence,palestinianonpalestinian violence,palestinianonpalestinian violence,0.0
p,"Fighting among rival Palestinian and Arab movements has played a crucial role in shaping Israel's security policy towards Palestinian militants, as well as in the Palestinian leadership's own policies.[citation needed] As early as the 1930s revolts in Palestine, Arab forces fought each other while also skirmishing with Zionist and British forces, and internal conflicts continue to the present day. During the Lebanese Civil War, Palestinian baathists broke from the Palestine Liberation Organization and allied with the Shia Amal Movement, fighting a bloody civil war that killed thousands of Palestinians.[189][190]",fighting among rival palestinian and arab movements has played a crucial role in shaping israels security policy towards palestinian militants as well as in the palestinian leaderships own policiescitation needed as early as the s revolts in palestine arab forces fought each other while also skirmishing with zionist and british forces and internal conflicts continue to the present day during the lebanese civil war palestinian baathists broke from the palestine liberation organization and allied with the shia amal movement fighting a bloody civil war that killed thousands of palestinians,fighting among rival palestinian arab movements played crucial role shaping israels security policy towards palestinian militants well palestinian leaderships own policiescitation needed early s revolts palestine arab forces fought each other while also skirmishing zionist british forces internal conflicts continue present day during lebanese civil war palestinian baathists broke palestine liberation organization allied shia amal movement fighting bloody civil war killed thousands palestinians,-0.047222222222222235
p,"In the First Intifada, more than a thousand Palestinians were killed in a campaign initiated by the Palestine Liberation Organization to crack down on suspected Israeli security service informers and collaborators. The Palestinian Authority was strongly criticized for its treatment of alleged collaborators, rights groups complaining that those labeled collaborators were denied fair trials. According to a report released by the Palestinian Human Rights Monitoring Group, less than 45 percent of those killed were actually guilty of informing for Israel.[191]",in the first intifada more than a thousand palestinians were killed in a campaign initiated by the palestine liberation organization to crack down on suspected israeli security service informers and collaborators the palestinian authority was strongly criticized for its treatment of alleged collaborators rights groups complaining that those labeled collaborators were denied fair trials according to a report released by the palestinian human rights monitoring group less than  percent of those killed were actually guilty of informing for israel,first intifada more than thousand palestinians were killed campaign initiated palestine liberation organization crack down suspected israeli security service informers collaborators palestinian authority strongly criticized treatment alleged collaborators rights groups complaining those labeled collaborators were denied fair trials according report released palestinian human rights monitoring group less than percent those killed were actually guilty informing israel,0.05101010101010099
p,"In the Gaza Strip, Hamas officials have tortured and killed thousands of Fatah members and other Palestinians who oppose their rule. During the Battle of Gaza, more than 150 Palestinians died over a four-day period.[192] The violence among Palestinians was described as a civil war by some commentators. By 2007, more than 600 Palestinian people had died during the struggle between Hamas and Fatah.[193]",in the gaza strip hamas officials have tortured and killed thousands of fatah members and other palestinians who oppose their rule during the battle of gaza more than  palestinians died over a fourday period the violence among palestinians was described as a civil war by some commentators by  more than  palestinian people had died during the struggle between hamas and fatah,gaza strip hamas officials tortured killed thousands fatah members other palestinians who oppose rule during battle gaza more than palestinians died over fourday period violence among palestinians described civil war some commentators more than palestinian people died during struggle between hamas fatah,0.16875
h3,Overriding authority and international status,overriding authority and international status,overriding authority international status,0.0
p,"As far as Israel is concerned, the jurisdiction of the Palestinian Authority is derived from the Oslo Accords, signed with the PLO, under which it acquired control over cities in the Palestinian territories (Area A) while the surrounding countryside came either under Israeli security and Palestinian civil administration (Area B) or complete Israeli civil administration (Area C). Israel has built additional highways to allow Israelis to traverse the area without entering Palestinian cities in Area A. The initial areas under Palestinian Authority control are diverse and non-contiguous. The areas have changed over time by subsequent negotiations, including Oslo II, Wye River and Sharm el-Sheik. According to Palestinians, the separated areas make it impossible to create a viable nation and fails to address Palestinian security needs; Israel has expressed no agreement to withdrawal from some Areas B, resulting in no reduction in the division of the Palestinian areas, and the institution of a safe pass system, without Israeli checkpoints, between these parts.",as far as israel is concerned the jurisdiction of the palestinian authority is derived from the oslo accords signed with the plo under which it acquired control over cities in the palestinian territories area a while the surrounding countryside came either under israeli security and palestinian civil administration area b or complete israeli civil administration area c israel has built additional highways to allow israelis to traverse the area without entering palestinian cities in area a the initial areas under palestinian authority control are diverse and noncontiguous the areas have changed over time by subsequent negotiations including oslo ii wye river and sharm elsheik according to palestinians the separated areas make it impossible to create a viable nation and fails to address palestinian security needs israel has expressed no agreement to withdrawal from some areas b resulting in no reduction in the division of the palestinian areas and the institution of a safe pass system without israeli checkpoints between these parts,far israel concerned jurisdiction palestinian authority derived oslo accords signed plo under acquired control over cities palestinian territories area while surrounding countryside came either under israeli security palestinian civil administration area b complete israeli civil administration area c israel built additional highways allow israelis traverse area without entering palestinian cities area initial areas under palestinian authority control diverse noncontiguous areas changed over time subsequent negotiations including oslo ii wye river sharm elsheik according palestinians separated areas make impossible create viable nation fails address palestinian security needs israel expressed no agreement withdrawal some areas b resulting no reduction division palestinian areas institution safe pass system without israeli checkpoints between these parts,-0.06666666666666665
p,"Under the Oslo Accords, as a security measure, Israel has insisted on its control over all land, sea and air border crossings into the Palestinian territories, and the right to set import and export controls. This is to enable Israel to control the entry into the territories of materials of military significance and of potentially dangerous persons.",under the oslo accords as a security measure israel has insisted on its control over all land sea and air border crossings into the palestinian territories and the right to set import and export controls this is to enable israel to control the entry into the territories of materials of military significance and of potentially dangerous persons,under oslo accords security measure israel insisted control over all land sea air border crossings into palestinian territories right set import export controls enable israel control entry into territories materials military significance potentially dangerous persons,-0.13809523809523808
p,"The PLO's objective for international recognition of the State of Palestine is considered by Israel as a provocative ""unilateral"" act that is inconsistent with the Oslo Accords.",the plos objective for international recognition of the state of palestine is considered by israel as a provocative unilateral act that is inconsistent with the oslo accords,plos objective international recognition state palestine considered israel provocative unilateral act inconsistent oslo accords,-0.16666666666666666
h3,Water resources,water resources,water resources,0.0
p,"In the Middle East, water resources are of great political concern. Since Israel receives much of its water from two large underground aquifers which continue under the Green Line, the use of this water has been contentious in the Israeli–Palestinian conflict. Israel withdraws most water from these areas, but it also supplies the West Bank with approximately 40 million cubic metres annually, contributing to 77% of Palestinians' water supply in the West Bank, which is to be shared for a population of about 2.6 million.[194]",in the middle east water resources are of great political concern since israel receives much of its water from two large underground aquifers which continue under the green line the use of this water has been contentious in the israelipalestinian conflict israel withdraws most water from these areas but it also supplies the west bank with approximately  million cubic metres annually contributing to  of palestinians water supply in the west bank which is to be shared for a population of about  million,middle east water resources great political concern since israel receives much water two large underground aquifers continue under green line use water been contentious israelipalestinian conflict israel withdraws most water these areas but also supplies west bank approximately million cubic metres annually contributing palestinians water supply west bank shared population about million,0.1392857142857143
p,"While Israel's consumption of this water has decreased since it began its occupation of the West Bank, it still consumes the majority of it: in the 1950s, Israel consumed 95% of the water output of the Western Aquifer, and 82% of that produced by the Northeastern Aquifer. Although this water was drawn entirely on Israel's own side of the pre-1967 border, the sources of the water are nevertheless from the shared groundwater basins located under both West Bank and Israel.[195]",while israels consumption of this water has decreased since it began its occupation of the west bank it still consumes the majority of it in the s israel consumed  of the water output of the western aquifer and  of that produced by the northeastern aquifer although this water was drawn entirely on israels own side of the pre border the sources of the water are nevertheless from the shared groundwater basins located under both west bank and israel,while israels consumption water decreased since began occupation west bank still consumes majority s israel consumed water output western aquifer produced northeastern aquifer although water drawn entirely israels own side pre border sources water nevertheless shared groundwater basins located under both west bank israel,0.04999999999999999
p,"In the Oslo II Accord, both sides agreed to maintain ""existing quantities of utilization from the resources."" In so doing, the Palestinian Authority established the legality of Israeli water production in the West Bank, subject to a Joint Water Committee (JWC). Moreover, Israel obligated itself in this agreement to provide water to supplement Palestinian production, and further agreed to allow additional Palestinian drilling in the Eastern Aquifer, also subject to the Joint Water Committee.[196][197] The water that Israel receives comes mainly from the Jordan River system, the Sea of Galilee and two underground sources. According to a 2003 BBC article the Palestinians lack access to the Jordan River system.[198]",in the oslo ii accord both sides agreed to maintain existing quantities of utilization from the resources in so doing the palestinian authority established the legality of israeli water production in the west bank subject to a joint water committee jwc moreover israel obligated itself in this agreement to provide water to supplement palestinian production and further agreed to allow additional palestinian drilling in the eastern aquifer also subject to the joint water committee the water that israel receives comes mainly from the jordan river system the sea of galilee and two underground sources according to a  bbc article the palestinians lack access to the jordan river system,oslo ii accord both sides agreed maintain existing quantities utilization resources so doing palestinian authority established legality israeli water production west bank subject joint water committee jwc moreover israel obligated itself agreement provide water supplement palestinian production further agreed allow additional palestinian drilling eastern aquifer also subject joint water committee water israel receives comes mainly jordan river system sea galilee two underground sources according bbc article palestinians lack access jordan river system,-0.041666666666666664
p,"According to a report of 2008 by the Food and Agriculture Organization of the United Nations, water resources were confiscated for the benefit of the Israeli settlements in the Ghor. Palestinian irrigation pumps on the Jordan River were destroyed or confiscated after the 1967 war and Palestinians were not allowed to use water from the Jordan River system. Furthermore, the authorities did not allow any new irrigation wells to be drilled by Palestinian farmers, while it provided fresh water and allowed drilling wells for irrigation purposes at the Jewish settlements in the West Bank and Gaza Strip.[199]",according to a report of  by the food and agriculture organization of the united nations water resources were confiscated for the benefit of the israeli settlements in the ghor palestinian irrigation pumps on the jordan river were destroyed or confiscated after the  war and palestinians were not allowed to use water from the jordan river system furthermore the authorities did not allow any new irrigation wells to be drilled by palestinian farmers while it provided fresh water and allowed drilling wells for irrigation purposes at the jewish settlements in the west bank and gaza strip,according report food agriculture organization united nations water resources were confiscated benefit israeli settlements ghor palestinian irrigation pumps jordan river were destroyed confiscated after war palestinians were allowed use water jordan river system furthermore authorities did allow any new irrigation wells drilled palestinian farmers while provided fresh water allowed drilling wells irrigation purposes jewish settlements west bank gaza strip,0.14545454545454545
p,"A report was released by the UN in August 2012 and Max Gaylard, the UN Resident and Humanitarian Coordinator in the occupied Palestinian territory, explained at the launch of the publication: ""Gaza will have half a million more people by 2020 while its economy will grow only slowly. In consequence, the people of Gaza will have an even harder time getting enough drinking water and electricity, or sending their children to school"". Gaylard present alongside Jean Gough, of the UN Children's Fund (UNICEF), and Robert Turner, of the UN Relief and Works Agency for Palestinian Refugees in the Near East (UNRWA). The report projects that Gaza's population will increase from 1.6 million people to 2.1 million people in 2020, leading to a density of more than 5,800 people per square kilometre.[200]",a report was released by the un in august  and max gaylard the un resident and humanitarian coordinator in the occupied palestinian territory explained at the launch of the publication gaza will have half a million more people by  while its economy will grow only slowly in consequence the people of gaza will have an even harder time getting enough drinking water and electricity or sending their children to school gaylard present alongside jean gough of the un childrens fund unicef and robert turner of the un relief and works agency for palestinian refugees in the near east unrwa the report projects that gazas population will increase from  million people to  million people in  leading to a density of more than  people per square kilometre,report released un august max gaylard un resident humanitarian coordinator occupied palestinian territory explained launch publication gaza half million more people while economy grow only slowly consequence people gaza even harder time getting enough drinking water electricity sending children school gaylard present alongside jean gough un childrens fund unicef robert turner un relief works agency palestinian refugees near east unrwa report projects gazas population increase million people million people leading density more than people per square kilometre,0.05925925925925926
h4,Future and financing,future and financing,future financing,0.0
p,Numerous foreign nations and international organizations have established bilateral agreements with the Palestinian and Israeli water authorities. It was estimated that a future investment of about US$1.1bn for the West Bank and $0.8bn for the Gaza Strip Southern Governorates was needed for the planning period from 2003 to 2015.[201],numerous foreign nations and international organizations have established bilateral agreements with the palestinian and israeli water authorities it was estimated that a future investment of about usbn for the west bank and bn for the gaza strip southern governorates was needed for the planning period from  to ,numerous foreign nations international organizations established bilateral agreements palestinian israeli water authorities estimated future investment about usbn west bank bn gaza strip southern governorates needed planning period,-0.025
p,"In late 2012, a donation of $21.6 million was announced by the Government of the Netherlands—the Dutch government stated that the funds would be provided to the UN Relief and Works Agency for Palestinian Refugees in the Near East (UNRWA), for the specific benefit of Palestinian children. An article, published by the UN News website, stated that: ""Of the $21.6 million, $5.7 will be allocated to UNRWA's 2012 Emergency Appeal for the occupied Palestinian territory, which will support programmes in the West Bank and Gaza aiming to mitigate the effects on refugees of the deteriorating situation they face.""[200]",in late  a donation of  million was announced by the government of the netherlandsthe dutch government stated that the funds would be provided to the un relief and works agency for palestinian refugees in the near east unrwa for the specific benefit of palestinian children an article published by the un news website stated that of the  million  will be allocated to unrwas  emergency appeal for the occupied palestinian territory which will support programmes in the west bank and gaza aiming to mitigate the effects on refugees of the deteriorating situation they face,late donation million announced government netherlandsthe dutch government stated funds would provided un relief works agency palestinian refugees near east unrwa specific benefit palestinian children article published un news website stated million allocated unrwas emergency appeal occupied palestinian territory support programmes west bank gaza aiming mitigate effects refugees deteriorating situation face,-0.06666666666666667
h3,Israeli occupation of the West Bank,israeli occupation of the west bank,israeli occupation west bank,0.0
p,"Occupied Palestinian Territory is the term used by the United Nations to refer to the West Bank, including East Jerusalem, and the Gaza Strip—territories which were captured by Israel during the 1967 Six-Day War, having formerly been controlled by Egypt and Jordan.[202]",occupied palestinian territory is the term used by the united nations to refer to the west bank including east jerusalem and the gaza stripterritories which were captured by israel during the  sixday war having formerly been controlled by egypt and jordan,occupied palestinian territory term used united nations refer west bank including east jerusalem gaza stripterritories were captured israel during sixday war having formerly been controlled egypt jordan,0.0
p,"In 1980, Israel annexed East Jerusalem.[203] Israel has never annexed the West Bank, apart from East Jerusalem, or Gaza Strip, and the United Nations has demanded the ""[t]ermination of all claims or states of belligerency and respect for and acknowledgment of the sovereignty, territorial integrity and political independence of every State in the area and their right to live in peace within secure and recognized boundaries free from threats or acts of force"" and that Israeli forces withdraw ""from territories occupied in the recent conflict"" – the meaning and intent of the latter phrase is disputed. See Interpretations.",in  israel annexed east jerusalem israel has never annexed the west bank apart from east jerusalem or gaza strip and the united nations has demanded the termination of all claims or states of belligerency and respect for and acknowledgment of the sovereignty territorial integrity and political independence of every state in the area and their right to live in peace within secure and recognized boundaries free from threats or acts of force and that israeli forces withdraw from territories occupied in the recent conflict  the meaning and intent of the latter phrase is disputed see interpretations,israel annexed east jerusalem israel never annexed west bank apart east jerusalem gaza strip united nations demanded termination all claims states belligerency respect acknowledgment sovereignty territorial integrity political independence every state area right live peace within secure recognized boundaries free threats acts force israeli forces withdraw territories occupied recent conflict meaning intent latter phrase disputed see interpretations,0.17458256029684602
