Type,Content,content_cleaned,content_segmented,content_processed
p,由于拉宾的遇刺，大众对于奥斯陆协议的观感也稍有好转，大为提升了接任人希蒙·佩雷斯的支持度。不过，新的一波自杀炸弹攻势加上阿拉法特赞美炸弹客的声明，使得公众舆论再次扭转，并且在1996年5月的首次总理直接选举，佩雷斯败给了右翼联合党的本雅明·内塔尼亚胡。,由于拉宾的遇刺大众对于奥斯陆协议的观感也稍有好转大为提升了接任人希蒙佩雷斯的支持度不过新的一波自杀炸弹攻势加上阿拉法特赞美炸弹客的声明使得公众舆论再次扭转并且在年月的首次总理直接选举佩雷斯败给了右翼联合党的本雅明内塔尼亚胡,由于 拉宾 的 遇刺 大众 对于 奥斯陆 协议 的 观感 也 稍 有 好转 大为 提升 了 接任 人希蒙 佩雷斯 的 支持 度 不过 新 的 一波 自杀 炸弹 攻势 加上 阿拉法特 赞美 炸弹 客 的 声明 使得 公众 舆论 再次 扭转 并且 在 年 月 的 首次 总理 直接 选举 佩雷斯 败给 了 右翼 联合党 的 本雅明 内塔尼亚胡,由于 拉宾 遇刺 大众 对于 奥斯陆 协议 观感 稍 好转 大为 提升 接任 人希蒙 佩雷斯 支持 度 不过 新 一波 自杀 炸弹 攻势 加上 阿拉法特 赞美 炸弹 客 声明 使得 公众 舆论 再次 扭转 并且 年 月 首次 总理 直接 选举 佩雷斯 败给 右翼 联合党 本雅明 内塔尼亚胡
p,虽然内塔尼亚胡被视为是奥斯陆协议的坚定反对者，他仍然决定从希伯伦撤军，并且签下了怀伊备忘录（Wye River Memorandum），给予巴勒斯坦民族权力机构更大的自治权力。在内塔尼亚胡任内巴勒斯坦团体对以色列平民的袭击活动大为减少，然而他的联合政府仍然在1999年垮台。在1999年选举中工党的埃胡德·巴拉克以大幅票数差距击败内塔尼亚胡而继任总理。,虽然内塔尼亚胡被视为是奥斯陆协议的坚定反对者他仍然决定从希伯伦撤军并且签下了怀伊备忘录给予巴勒斯坦民族权力机构更大的自治权力在内塔尼亚胡任内巴勒斯坦团体对以色列平民的袭击活动大为减少然而他的联合政府仍然在年垮台在年选举中工党的埃胡德巴拉克以大幅票数差距击败内塔尼亚胡而继任总理,虽然 内塔尼亚胡 被 视为 是 奥斯陆 协议 的 坚定 反对者 他 仍然 决定 从 希伯伦 撤军 并且 签下 了 怀伊 备忘录 给予 巴勒斯坦民族权力机构 更大 的 自治 权力 在 内塔尼亚胡 任内 巴勒斯坦 团体 对 以色列 平民 的 袭击 活动 大为 减少 然而 他 的 联合政府 仍然 在 年 垮台 在 年 选举 中 工党 的 埃 胡德 巴拉克 以 大幅 票数 差距 击败 内塔尼亚胡 而 继任 总理,虽然 内塔尼亚胡 被 视为 奥斯陆 协议 坚定 反对者 他 仍然 决定 从 希伯伦 撤军 并且 签下 怀伊 备忘录 给予 巴勒斯坦民族权力机构 更大 自治 权力 内塔尼亚胡 任内 巴勒斯坦 团体 对 以色列 平民 袭击 活动 大为 减少 然而 他 联合政府 仍然 年 垮台 年 选举 中 工党 埃 胡德 巴拉克 以 大幅 票数 差距 击败 内塔尼亚胡 而 继任 总理
p,巴拉克和亚西尔·阿拉法特曾在美国总统比尔·克林顿的斡旋下于2000年在大卫营进行协商，然而协商最后失败，阿拉法特提出的条件是一个由73%西岸地区和100%加沙地带组成的巴勒斯坦国家，并且在10至25年时间内将西岸地区的巴勒斯坦领域扩展至90%（排除耶路撒冷郊区则是94%），但巴拉克认为方案否定了以色列在耶路撒冷的地位，而阿拉法特坚持以耶路撒冷作为巴勒斯坦国的首都，拒绝让步。,巴拉克和亚西尔阿拉法特曾在美国总统比尔克林顿的斡旋下于年在大卫营进行协商然而协商最后失败阿拉法特提出的条件是一个由西岸地区和加沙地带组成的巴勒斯坦国家并且在至年时间内将西岸地区的巴勒斯坦领域扩展至排除耶路撒冷郊区则是但巴拉克认为方案否定了以色列在耶路撒冷的地位而阿拉法特坚持以耶路撒冷作为巴勒斯坦国的首都拒绝让步,巴拉克 和 亚西尔 阿拉法特 曾 在 美国 总统 比尔 克林顿 的 斡旋 下于 年 在 大卫 营 进行 协商 然而 协商 最后 失败 阿拉法特 提出 的 条件 是 一个 由 西岸地区 和 加沙 地带 组成 的 巴勒斯坦 国家 并且 在 至 年 时间 内 将 西岸地区 的 巴勒斯坦 领域 扩展 至 排除 耶路撒冷 郊区 则 是 但 巴拉克 认为 方案 否定 了 以色列 在 耶路撒冷 的 地位 而 阿拉法特 坚持 以 耶路撒冷 作为 巴勒斯坦国 的 首都 拒绝 让步,巴拉克 亚西尔 阿拉法特 曾 美国 总统 比尔 克林顿 斡旋 下于 年 大卫 营 进行 协商 然而 协商 最后 失败 阿拉法特 提出 条件 由 西岸地区 加沙 地带 组成 巴勒斯坦 国家 并且 至 年 时间 内 将 西岸地区 巴勒斯坦 领域 扩展 至 排除 耶路撒冷 郊区 则 但 巴拉克 认为 方案 否定 以色列 耶路撒冷 地位 而 阿拉法特 坚持 以 耶路撒冷 作为 巴勒斯坦国 首都 拒绝 让步
h3,2000年至今[编辑],年至今编辑,年 至今 编辑,年 至今 编辑
p,在谈判破裂后，巴勒斯坦开始了第二次暴动，称为阿克萨群众起义，暴动开始的时间就发生在以色列反对派领袖阿里埃勒·沙龙访问耶路撒冷圣殿山之后不久。协商的失败以及新暴动的爆发使得许多以色列人对巴拉克政府感到失望，并且也使和平协议的支持度大减。,在谈判破裂后巴勒斯坦开始了第二次暴动称为阿克萨群众起义暴动开始的时间就发生在以色列反对派领袖阿里埃勒沙龙访问耶路撒冷圣殿山之后不久协商的失败以及新暴动的爆发使得许多以色列人对巴拉克政府感到失望并且也使和平协议的支持度大减,在 谈判 破裂 后 巴勒斯坦 开始 了 第二次 暴动 称为 阿克萨 群众 起义 暴动 开始 的 时间 就 发生 在 以色列 反对派 领袖 阿里 埃勒 沙龙 访问 耶路撒冷 圣殿山 之后 不久 协商 的 失败 以及 新 暴动 的 爆发 使得 许多 以色列 人 对 巴拉克 政府 感到 失望 并且 也 使 和平 协议 的 支持 度大减,谈判 破裂 后 巴勒斯坦 开始 第二次 暴动 称为 阿克萨 群众 起义 暴动 开始 时间 发生 以色列 反对派 领袖 阿里 埃勒 沙龙 访问 耶路撒冷 圣殿山 之后 不久 协商 失败 以及 新 暴动 爆发 使得 许多 以色列 对 巴拉克 政府 感到 失望 并且 使 和平 协议 支持 度大减
p,在一场总理的特别选举后，艾里尔·夏隆在2001年2月成为了新的总理，右翼联合党在不到两年后重新主政，稍后又在2003年的选举中成功连任。沙龙开始从加沙地带单方面撤军，这次撤军在2005年8月至9月间完成。,在一场总理的特别选举后艾里尔夏隆在年月成为了新的总理右翼联合党在不到两年后重新主政稍后又在年的选举中成功连任沙龙开始从加沙地带单方面撤军这次撤军在年月至月间完成,在 一场 总理 的 特别 选举 后 艾 里尔 夏隆 在 年 月 成为 了 新 的 总理 右翼 联合党 在 不到 两年 后 重新 主政 稍后 又 在 年 的 选举 中 成功 连任 沙龙 开始 从 加沙 地带 单方面 撤军 这次 撤军 在 年 月 至 月 间 完成,一场 总理 特别 选举 后 艾 里尔 夏隆 年 月 成为 新 总理 右翼 联合党 不到 两年 后 重新 主政 稍后 又 年 选举 中 成功 连任 沙龙 开始 从 加沙 地带 单方面 撤军 这次 撤军 年 月 至 月 间 完成
p,以色列开始在西岸地区边界建立了围墙，目的是为了保护以色列免遭武装巴勒斯坦团体的攻击。为了建立长达681公里的围墙，接近围墙的缓冲地区也连带的减少了9.5%的西岸地区面积，使得巴勒斯坦居民的经济状况遭遇困难[13]。围墙的建立遭致了国际间的许多批评，也遭到一些以色列极左派的批评。不过，围墙的确有效减少了对以色列平民的恐怖攻击[14]。,以色列开始在西岸地区边界建立了围墙目的是为了保护以色列免遭武装巴勒斯坦团体的攻击为了建立长达公里的围墙接近围墙的缓冲地区也连带的减少了的西岸地区面积使得巴勒斯坦居民的经济状况遭遇困难围墙的建立遭致了国际间的许多批评也遭到一些以色列极左派的批评不过围墙的确有效减少了对以色列平民的恐怖攻击,以色列 开始 在 西岸地区 边界 建立 了 围墙 目的 是 为了 保护 以色列 免遭 武装 巴勒斯坦 团体 的 攻击 为了 建立 长 达 公里 的 围墙 接近 围墙 的 缓冲地区 也 连带 的 减少 了 的 西岸地区 面积 使得 巴勒斯坦 居民 的 经济 状况 遭遇 困难 围墙 的 建立 遭致 了 国际 间 的 许多 批评 也 遭到 一些 以色列 极左派 的 批评 不过 围墙 的确 有效 减少 了 对 以色列 平民 的 恐怖 攻击,以色列 开始 西岸地区 边界 建立 围墙 目的 为了 保护 以色列 免遭 武装 巴勒斯坦 团体 攻击 为了 建立 长 达 公里 围墙 接近 围墙 缓冲地区 连带 减少 西岸地区 面积 使得 巴勒斯坦 居民 经济 状况 遭遇 困难 围墙 建立 遭致 国际 间 许多 批评 遭到 一些 以色列 极左派 批评 不过 围墙 的确 有效 减少 对 以色列 平民 恐怖 攻击
p,2006年6月25日凌晨，8名巴勒斯坦武装人员通过地下通道潜入位于加沙地带南部附近的以军哨所，向坦克和碉堡发射火箭弹，并炸毁一辆装甲车。以军发言人证实，2名士兵被炸身亡，4名士兵受伤。遭绑架的以军士兵是19岁的吉拉德·沙利特。当晚，以色列内阁举行特别会议，决定同意国防军着手营救这名士兵[15]。以色列对此展开了夏雨行动，大量轰炸哈玛斯目标以及其他桥梁、道路、以及发电站。以色列也派军占领此地区。,年月日凌晨名巴勒斯坦武装人员通过地下通道潜入位于加沙地带南部附近的以军哨所向坦克和碉堡发射火箭弹并炸毁一辆装甲车以军发言人证实名士兵被炸身亡名士兵受伤遭绑架的以军士兵是岁的吉拉德沙利特当晚以色列内阁举行特别会议决定同意国防军着手营救这名士兵以色列对此展开了夏雨行动大量轰炸哈玛斯目标以及其他桥梁道路以及发电站以色列也派军占领此地区,年月日 凌晨 名 巴勒斯坦 武装人员 通过 地下通道 潜入 位于 加沙 地带 南部 附近 的 以军 哨所 向 坦克 和 碉堡 发射 火箭弹 并 炸毁 一辆 装甲车 以军 发言人 证实 名 士兵 被 炸 身亡 名 士兵 受伤 遭绑架 的 以军 士兵 是 岁 的 吉拉德 沙 利特 当晚 以色列 内阁 举行 特别 会议 决定 同意 国防军 着手 营救 这名 士兵 以色列 对此 展开 了 夏雨 行动 大量 轰炸 哈玛斯 目标 以及 其他 桥梁 道路 以及 发电站 以色列 也 派 军 占领 此 地区,年月日 凌晨 名 巴勒斯坦 武装人员 通过 地下通道 潜入 位于 加沙 地带 南部 附近 以军 哨所 向 坦克 碉堡 发射 火箭弹 并 炸毁 一辆 装甲车 以军 发言人 证实 名 士兵 被 炸 身亡 名 士兵 受伤 遭绑架 以军 士兵 岁 吉拉德 沙 利特 当晚 以色列 内阁 举行 特别 会议 决定 同意 国防军 着手 营救 这名 士兵 以色列 对此 展开 夏雨 行动 大量 轰炸 哈玛斯 目标 以及 其他 桥梁 道路 以及 发电站 以色列 派 军 占领 此 地区
p,2008年12月19日，哈马斯与以色列签署的停火协议到期，哈马斯向以色列境内发射大约百枚火箭弹和迫击弹，以色列借此发动反击，从12月27日开始对加沙地带实行空中军事攻击。2009年1月3日，以军开始发动地面进攻。,年月日哈马斯与以色列签署的停火协议到期哈马斯向以色列境内发射大约百枚火箭弹和迫击弹以色列借此发动反击从月日开始对加沙地带实行空中军事攻击年月日以军开始发动地面进攻,年月日 哈马斯 与 以色列 签署 的 停火协议 到期 哈马斯 向 以色列 境内 发射 大约 百枚 火箭弹 和 迫击 弹 以色列 借此 发动 反击 从 月 日 开始 对 加沙 地带 实行 空中 军事 攻击 年月日 以军 开始 发动 地面 进攻,年月日 哈马斯 与 以色列 签署 停火协议 到期 哈马斯 向 以色列 境内 发射 大约 百枚 火箭弹 迫击 弹 以色列 借此 发动 反击 从 月 日 开始 对 加沙 地带 实行 空中 军事 攻击 年月日 以军 开始 发动 地面 进攻
p,2014年7月8日，以色列国防部队发动了名为“保护边缘行动”的针对哈马斯的军事入侵，酿成巴勒斯坦平民死伤惨重[16]。,年月日以色列国防部队发动了名为保护边缘行动的针对哈马斯的军事入侵酿成巴勒斯坦平民死伤惨重,年月日 以色列国防部 队 发动 了 名为 保护 边缘 行动 的 针对 哈马斯 的 军事 入侵 酿成 巴勒斯坦 平民 死伤 惨重,年月日 以色列国防部 队 发动 名为 保护 边缘 行动 针对 哈马斯 军事 入侵 酿成 巴勒斯坦 平民 死伤 惨重
p,2014年8月27日，以色列和哈马斯达成停火协议，2014年巴以冲突结束[1]。,年月日以色列和哈马斯达成停火协议年巴以冲突结束,年月日 以色列 和 哈马斯 达成 停火协议 年巴以 冲突 结束,年月日 以色列 哈马斯 达成 停火协议 年巴以 冲突 结束
p,2015年10月11日，以色列国防军在加沙地带边界和参与示威游行的巴勒斯坦人爆发一连串冲突，造成6人死亡和50多人受伤。,年月日以色列国防军在加沙地带边界和参与示威游行的巴勒斯坦人爆发一连串冲突造成人死亡和多人受伤,年月日 以色列国防军 在 加沙 地带 边界 和 参与 示威游行 的 巴勒斯坦人 爆发 一连串 冲突 造成 人 死亡 和 多 人 受伤,年月日 以色列国防军 加沙 地带 边界 参与 示威游行 巴勒斯坦人 爆发 一连串 冲突 造成 死亡 多 受伤
p,"2018年5月14日，美国驻以色列耶路撒冷大使馆开幕，正值以色列的独立日，亦是巴勒斯坦“灾难节”的前一日。加沙地带爆发新一轮示威反对美国和以色列，批评两国认定耶路撒冷为以色列的首都，侵占巴勒斯坦的主权。其后以色列警方开枪镇压示威，超过50人死亡、至少2,000人受伤。巴勒斯坦人称之为“大屠杀”，外界相信此次示威为近年巴以冲突中最血腥的一日。多国批评以色列的行动，其中土耳其更加驱逐外交官，以色列则以对方不尊重外交礼仪为由，驱逐土耳其外交官[17]。而美国则支持以色列，指责哈马斯挑起冲突[18]。",年月日美国驻以色列耶路撒冷大使馆开幕正值以色列的独立日亦是巴勒斯坦灾难节的前一日加沙地带爆发新一轮示威反对美国和以色列批评两国认定耶路撒冷为以色列的首都侵占巴勒斯坦的主权其后以色列警方开枪镇压示威超过人死亡至少人受伤巴勒斯坦人称之为大屠杀外界相信此次示威为近年巴以冲突中最血腥的一日多国批评以色列的行动其中土耳其更加驱逐外交官以色列则以对方不尊重外交礼仪为由驱逐土耳其外交官而美国则支持以色列指责哈马斯挑起冲突,年月日 美国 驻 以色列 耶路撒冷 大使馆 开幕 正值 以色列 的 独立 日 亦 是 巴勒斯坦 灾难 节 的 前 一日 加沙 地带 爆发 新一轮 示威 反对 美国 和 以色列 批评 两 国 认定 耶路撒冷 为 以色列 的 首都 侵占 巴勒斯坦 的 主权 其后 以色列 警方 开枪 镇压 示威 超过 人 死亡 至少 人 受伤 巴勒斯坦人 称之为 大屠杀 外界 相信 此次 示威 为 近年 巴 以 冲突 中 最 血腥 的 一日 多 国 批评 以色列 的 行动 其中 土耳其 更加 驱逐 外交官 以色列 则 以 对方 不 尊重 外交 礼仪 为 由 驱逐 土耳其 外交官 而 美国 则 支持 以色列 指责 哈马斯 挑起 冲突,年月日 美国 驻 以色列 耶路撒冷 大使馆 开幕 正值 以色列 独立 日 亦 巴勒斯坦 灾难 节 前 一日 加沙 地带 爆发 新一轮 示威 反对 美国 以色列 批评 两 国 认定 耶路撒冷 为 以色列 首都 侵占 巴勒斯坦 主权 其后 以色列 警方 开枪 镇压 示威 超过 死亡 至少 受伤 巴勒斯坦人 称之为 大屠杀 外界 相信 此次 示威 为 近年 巴 以 冲突 中 最 血腥 一日 多 国 批评 以色列 行动 其中 土耳其 更加 驱逐 外交官 以色列 则 以 对方 尊重 外交 礼仪 为 由 驱逐 土耳其 外交官 而 美国 则 支持 以色列 指责 哈马斯 挑起 冲突
p,2018年12月10日，以色列军人进入拉姆安拉打伤27名巴勒斯坦人。[19],年月日以色列军人进入拉姆安拉打伤名巴勒斯坦人,年月日 以色列 军人 进入 拉姆 安拉 打伤 名 巴勒斯坦人,年月日 以色列 军人 进入 拉姆 安拉 打伤 名 巴勒斯坦人
p,2019年5月3日至6日，自加沙地带两名以色列士兵在加沙-以色列边境的每周抗议活动中受到狙击手射击，加沙-以色列冲突于2019年5月3日开始升级，作为回应，以色列空军进行了空袭，造成四名巴勒斯坦人死亡。此后，加沙向以色列发射了数百枚火箭弹，而以色列空军袭击了加沙地带内的许多目标。此外，以色列增加了在加沙-以色列边界附近的部队人员。在埃及的调解下停火协议于5月6日生效。,年月日至日自加沙地带两名以色列士兵在加沙以色列边境的每周抗议活动中受到狙击手射击加沙以色列冲突于年月日开始升级作为回应以色列空军进行了空袭造成四名巴勒斯坦人死亡此后加沙向以色列发射了数百枚火箭弹而以色列空军袭击了加沙地带内的许多目标此外以色列增加了在加沙以色列边界附近的部队人员在埃及的调解下停火协议于月日生效,年月日 至 日 自 加沙 地带 两名 以色列 士兵 在 加沙 以色列 边境 的 每周 抗议 活动 中 受到 狙击手 射击 加沙 以色列 冲突 于 年月日 开始 升级 作为 回应 以色列空军 进行 了 空袭 造成 四名 巴勒斯坦人 死亡 此后 加沙 向 以色列 发射 了 数百枚 火箭弹 而 以色列空军 袭击 了 加沙 地带 内 的 许多 目标 此外 以色列 增加 了 在 加沙 以色列 边界 附近 的 部队 人员 在 埃及 的 调解 下 停火协议 于 月 日 生效,年月日 至 日 自 加沙 地带 两名 以色列 士兵 加沙 以色列 边境 每周 抗议 活动 中 受到 狙击手 射击 加沙 以色列 冲突 于 年月日 开始 升级 作为 回应 以色列空军 进行 空袭 造成 四名 巴勒斯坦人 死亡 此后 加沙 向 以色列 发射 数百枚 火箭弹 而 以色列空军 袭击 加沙 地带 内 许多 目标 此外 以色列 增加 加沙 以色列 边界 附近 部队 人员 埃及 调解 下 停火协议 于 月 日 生效
p,2019年9月28日，马来西亚首相马哈迪·莫哈末在第74届联合国大会上发表演说时表明，马来西亚无法接受以色列“公然占领巴勒斯坦领土作为定居点，同时侵占耶路撒冷”[20]。,年月日马来西亚首相马哈迪莫哈末在第届联合国大会上发表演说时表明马来西亚无法接受以色列公然占领巴勒斯坦领土作为定居点同时侵占耶路撒冷,年月日 马来西亚 首相 马哈迪 莫哈末 在 第届 联合国大会 上 发表演说 时 表明 马来西亚 无法 接受 以色列 公然 占领 巴勒斯坦 领土 作为 定居点 同时 侵占 耶路撒冷,年月日 马来西亚 首相 马哈迪 莫哈末 第届 联合国大会 发表演说 时 表明 马来西亚 无法 接受 以色列 公然 占领 巴勒斯坦 领土 作为 定居点 同时 侵占 耶路撒冷
p,2020年5月，巴勒斯坦总统马哈茂德·阿巴斯宣布与美国和以色列的所有协议无效[21]。不过在当年11月17日，巴方决定与以色列恢复双边安保和民事合作[22]。,年月巴勒斯坦总统马哈茂德阿巴斯宣布与美国和以色列的所有协议无效不过在当年月日巴方决定与以色列恢复双边安保和民事合作,年 月 巴勒斯坦 总统 马哈茂德 阿巴斯 宣布 与 美国 和 以色列 的 所有 协议 无效 不过 在 当 年月日 巴方 决定 与 以色列 恢复 双边 安保 和 民事 合作,年 月 巴勒斯坦 总统 马哈茂德 阿巴斯 宣布 与 美国 以色列 所有 协议 无效 不过 当 年月日 巴方 决定 与 以色列 恢复 双边 安保 民事 合作
p,火箭攻击以色列南部影片，2009年3月,火箭攻击以色列南部影片年月,火箭 攻击 以色列 南部 影片 年 月,火箭 攻击 以色列 南部 影片 年 月
p,阿卡桑火箭从加沙平民区向以色列南部发射，2009年1月,阿卡桑火箭从加沙平民区向以色列南部发射年月,阿卡 桑 火箭 从 加沙 平民 区 向 以色列 南部 发射 年 月,阿卡 桑 火箭 从 加沙 平民 区 向 以色列 南部 发射 年 月
p,2008年加沙战争期间，以色列对加沙的空袭,年加沙战争期间以色列对加沙的空袭,年 加沙 战争 期间 以色列 对 加沙 的 空袭,年 加沙 战争 期间 以色列 对 加沙 空袭
p,2021年5月7日，由于以色列最高法院准备审理驱逐东耶路撒冷谢赫杰拉区巴勒斯坦人出住处一案，加之以色列警方以防疫为理由，限制巴勒斯坦民众斋月期间前往圣殿山祈祷，引爆大规模冲突，以色列部队冲入阿克萨清真寺导致冲突升级。11日哈马斯向以色列中部城市特拉维夫发射火箭弹，以色列随即在加沙轰炸展开还击[23][24][25]。,年月日由于以色列最高法院准备审理驱逐东耶路撒冷谢赫杰拉区巴勒斯坦人出住处一案加之以色列警方以防疫为理由限制巴勒斯坦民众斋月期间前往圣殿山祈祷引爆大规模冲突以色列部队冲入阿克萨清真寺导致冲突升级日哈马斯向以色列中部城市特拉维夫发射火箭弹以色列随即在加沙轰炸展开还击,年月日 由于 以色列 最高法院 准备 审理 驱逐 东耶路撒冷 谢赫 杰拉 区 巴勒斯坦人 出 住处 一案 加之 以色列 警方 以 防疫 为 理由 限制 巴勒斯坦 民众 斋月 期间 前往 圣殿山 祈祷 引爆 大规模 冲突 以色列 部队 冲入 阿克萨清真寺 导致 冲突 升级 日 哈马斯 向 以色列 中部 城市 特拉维夫 发射 火箭弹 以色列 随即 在 加沙 轰炸 展开 还击,年月日 由于 以色列 最高法院 准备 审理 驱逐 东耶路撒冷 谢赫 杰拉 区 巴勒斯坦人 出 住处 一案 加之 以色列 警方 以 防疫 为 理由 限制 巴勒斯坦 民众 斋月 期间 前往 圣殿山 祈祷 引爆 大规模 冲突 以色列 部队 冲入 阿克萨清真寺 导致 冲突 升级 日 哈马斯 向 以色列 中部 城市 特拉维夫 发射 火箭弹 以色列 随即 加沙 轰炸 展开 还击
p,2022年8月5日，以色列国防军以“破晓行动”的名义向加沙地带的武装分子和基础设施发动空袭[26]。,年月日以色列国防军以破晓行动的名义向加沙地带的武装分子和基础设施发动空袭,年月日 以色列国防军 以 破晓 行动 的 名义 向 加沙 地带 的 武装 分子 和 基础设施 发动 空袭,年月日 以色列国防军 以 破晓 行动 名义 向 加沙 地带 武装 分子 基础设施 发动 空袭
p,2023年1月26日，以色列军方在杰宁市与巴勒斯坦武装分子发生冲突，导致至少9名巴勒斯坦人死亡、20人受伤，9名死者中包括1名年长妇女和8名男性。这起冲突成为杰宁镇20年来，死伤最严重的一次[27][28]。巴勒斯坦总统马哈茂德·阿巴斯宣布为遇难者哀悼三天。同时巴方决定中断与以方的安全协调。巴勒斯坦武装人员同时从加沙地带向以色列发射两枚火箭弹。1月27日，以军表示两枚火箭弹已被防空系统拦截[29]。,年月日以色列军方在杰宁市与巴勒斯坦武装分子发生冲突导致至少名巴勒斯坦人死亡人受伤名死者中包括名年长妇女和名男性这起冲突成为杰宁镇年来死伤最严重的一次巴勒斯坦总统马哈茂德阿巴斯宣布为遇难者哀悼三天同时巴方决定中断与以方的安全协调巴勒斯坦武装人员同时从加沙地带向以色列发射两枚火箭弹月日以军表示两枚火箭弹已被防空系统拦截,年月日 以色列 军方 在 杰宁市 与 巴勒斯坦 武装 分子 发生冲突 导致 至少 名 巴勒斯坦人 死亡 人 受伤 名 死者 中 包括 名 年长 妇女 和 名 男性 这起 冲突 成为 杰 宁镇 年 来 死伤 最 严重 的 一次 巴勒斯坦 总统 马哈茂德 阿巴斯 宣布 为 遇难者 哀悼 三天 同时 巴方 决定 中断 与 以方 的 安全 协调 巴勒斯坦 武装人员 同时 从 加沙 地带 向 以色列 发射 两枚 火箭弹 月 日 以军 表示 两枚 火箭弹 已 被 防空 系统 拦截,年月日 以色列 军方 杰宁市 与 巴勒斯坦 武装 分子 发生冲突 导致 至少 名 巴勒斯坦人 死亡 受伤 名 死者 中 包括 名 年长 妇女 名 男性 这起 冲突 成为 杰 宁镇 年 来 死伤 最 严重 一次 巴勒斯坦 总统 马哈茂德 阿巴斯 宣布 为 遇难者 哀悼 三天 同时 巴方 决定 中断 与 以方 安全 协调 巴勒斯坦 武装人员 同时 从 加沙 地带 向 以色列 发射 两枚 火箭弹 月 日 以军 表示 两枚 火箭弹 已 被 防空 系统 拦截
p,2023年2月22日晚，以色列军队对纳布卢斯发动突袭，造成11人死亡。[30]2月底，约旦河西岸北部城镇胡瓦拉有两名以色列人遭巴勒斯坦人枪杀，引发住在附近犹太定居点的以色列人不满。大批以色列人袭击巴勒斯坦人的住房，有多间住房和十多架汽车被人放火。袭击中有一名巴勒斯坦男子中枪身亡，4人严重受伤，近一百人吸入催泪气体接受治理。[31]同时以色列与巴勒斯坦官员在约旦会谈，承诺采取措施以缓解不断升级的暴力冲突。同时以色列承诺在未来4个月停止讨论建立任何新的定居点，并在未来6个月停止批准任何新的定居点。[32],年月日晚以色列军队对纳布卢斯发动突袭造成人死亡月底约旦河西岸北部城镇胡瓦拉有两名以色列人遭巴勒斯坦人枪杀引发住在附近犹太定居点的以色列人不满大批以色列人袭击巴勒斯坦人的住房有多间住房和十多架汽车被人放火袭击中有一名巴勒斯坦男子中枪身亡人严重受伤近一百人吸入催泪气体接受治理同时以色列与巴勒斯坦官员在约旦会谈承诺采取措施以缓解不断升级的暴力冲突同时以色列承诺在未来个月停止讨论建立任何新的定居点并在未来个月停止批准任何新的定居点,年月日 晚 以色列 军队 对 纳布卢斯 发动 突袭 造成 人 死亡 月底 约旦河西岸 北部 城镇 胡 瓦拉 有 两名 以色列 人遭 巴勒斯坦人 枪杀 引发 住 在 附近 犹太 定居点 的 以色列 人 不满 大批 以色列 人 袭击 巴勒斯坦人 的 住房 有多间 住房 和 十 多架 汽车 被 人 放火 袭击 中有 一名 巴勒斯坦 男子 中 枪 身亡 人 严重 受伤 近 一百 人 吸入 催泪 气体 接受 治理 同时 以色列 与 巴勒斯坦 官员 在 约旦 会谈 承诺 采取措施 以 缓解 不断 升级 的 暴力 冲突 同时 以色列 承诺 在 未来 个 月 停止 讨论 建立 任何 新 的 定居点 并 在 未来 个 月 停止 批准 任何 新 的 定居点,年月日 晚 以色列 军队 对 纳布卢斯 发动 突袭 造成 死亡 月底 约旦河西岸 北部 城镇 胡 瓦拉 两名 以色列 人遭 巴勒斯坦人 枪杀 引发 住 附近 犹太 定居点 以色列 不满 大批 以色列 袭击 巴勒斯坦人 住房 有多间 住房 十 多架 汽车 被 放火 袭击 中有 一名 巴勒斯坦 男子 中 枪 身亡 严重 受伤 近 一百 吸入 催泪 气体 接受 治理 同时 以色列 与 巴勒斯坦 官员 约旦 会谈 承诺 采取措施 以 缓解 不断 升级 暴力 冲突 同时 以色列 承诺 未来 个 月 停止 讨论 建立 任何 新 定居点 并 未来 个 月 停止 批准 任何 新 定居点
p,2023年3月7日，以军进入约旦河西岸杰宁难民营搜捕，期间与巴勒斯坦人发生冲突，导致6名巴勒斯坦人被以军击毙，另有26名巴勒斯坦人受伤。[33]3月9日，有3名巴勒斯坦人在杰宁被以色列军人打死。[34]4月6日，以色列军队对加沙地带发动空袭。[35],年月日以军进入约旦河西岸杰宁难民营搜捕期间与巴勒斯坦人发生冲突导致名巴勒斯坦人被以军击毙另有名巴勒斯坦人受伤月日有名巴勒斯坦人在杰宁被以色列军人打死月日以色列军队对加沙地带发动空袭,年月日 以军 进入 约旦河西岸 杰宁 难民营 搜捕 期间 与 巴勒斯坦人 发生冲突 导致 名 巴勒斯坦人 被 以军 击毙 另 有名 巴勒斯坦人 受伤 月 日 有名 巴勒斯坦人 在 杰宁 被 以色列 军人 打死 月 日 以色列 军队 对 加沙 地带 发动 空袭,年月日 以军 进入 约旦河西岸 杰宁 难民营 搜捕 期间 与 巴勒斯坦人 发生冲突 导致 名 巴勒斯坦人 被 以军 击毙 另 有名 巴勒斯坦人 受伤 月 日 有名 巴勒斯坦人 杰宁 被 以色列 军人 打死 月 日 以色列 军队 对 加沙 地带 发动 空袭
